timestamp,voltage,current,power,energy
2025-05-02 15:22:40.262605,205.0,0.07,14.0,0.01
2025-05-02 16:06:01.009735,24.0,0.07,1.0,0.0
2025-05-02 16:06:05.185630,24.0,0.07,1.0,0.0
2025-05-02 16:07:54.872956,24.0,0.07,1.0,0.0
2025-05-02 16:08:00.944610,24.0,0.07,1.0,0.0
2025-05-02 16:08:11.100737,24.0,0.07,1.0,0.0
2025-05-02 16:08:21.030138,24.0,0.07,1.0,0.0
2025-05-02 16:08:31.052833,24.0,0.07,1.0,0.0
2025-05-02 16:08:41.030094,24.0,0.07,1.0,0.0
2025-05-02 16:08:51.054294,24.0,0.07,1.0,0.0
2025-05-02 16:09:01.034486,24.0,0.07,1.0,0.0
2025-05-02 16:09:16.062280,24.0,0.07,1.0,0.0
2025-05-02 16:22:35.440217,24.0,0.07,1.0,0.0
2025-05-02 16:22:37.379770,24.0,0.07,1.0,0.0
2025-05-02 16:22:47.346591,24.0,0.07,1.0,0.0
2025-05-02 16:36:28.986270,24.0,0.07,1.0,0.0
2025-05-02 16:36:34.367174,24.0,0.07,1.0,0.0
2025-05-02 16:36:44.310605,24.0,0.07,1.0,0.0
2025-05-02 16:36:55.066129,24.0,0.07,1.0,0.0
2025-05-02 16:37:05.082282,24.0,0.07,1.0,0.0
2025-05-02 16:37:15.090464,24.0,0.07,1.0,0.0
2025-05-02 16:37:25.029909,24.0,0.07,1.0,0.0
2025-05-02 16:37:35.022761,24.0,0.07,1.0,0.0
2025-05-02 16:37:45.026708,24.0,0.07,1.0,0.0
2025-05-02 16:38:45.013810,24.0,0.07,1.0,0.0
2025-05-02 16:39:45.082017,24.0,0.07,1.0,0.0
2025-05-02 16:40:45.068295,24.0,0.07,1.0,0.0
2025-05-02 16:41:45.113916,24.0,0.07,1.0,0.0
2025-05-02 16:42:19.480849,24.0,0.07,1.0,0.0
2025-05-02 16:42:24.322843,24.0,0.07,1.0,0.0
2025-05-02 16:42:34.319180,24.0,0.07,1.0,0.0
2025-05-02 16:42:57.747384,24.0,0.07,1.0,0.0
2025-05-02 16:43:03.572517,24.0,0.07,1.0,0.0
2025-05-02 16:43:13.502595,24.0,0.07,1.0,0.0
2025-05-02 16:43:23.522505,24.0,0.07,1.0,0.0
2025-05-02 16:43:34.130088,24.0,0.07,1.0,0.0
2025-05-02 16:43:44.034530,24.0,0.07,1.0,0.0
2025-05-02 16:43:54.054815,24.0,0.07,1.0,0.0
2025-05-02 16:44:04.046609,24.0,0.07,1.0,0.0
2025-05-02 16:44:14.046697,24.0,0.07,1.0,0.0
2025-05-02 16:44:23.548475,24.0,0.07,1.0,0.0
2025-05-02 16:44:33.978295,24.0,0.07,1.0,0.0
2025-05-02 16:44:39.593830,24.0,0.07,1.0,0.0
2025-05-02 16:44:49.512297,24.0,0.07,1.0,0.0
2025-05-02 16:47:17.013604,24.0,0.07,1.0,0.0
2025-05-02 16:47:22.474882,24.0,0.07,1.0,0.0
2025-05-02 16:47:32.456327,24.0,0.07,1.0,0.0
2025-05-02 16:47:43.089670,24.0,0.07,1.0,0.0
2025-05-02 16:47:53.064266,24.0,0.07,1.0,0.0
2025-05-02 16:48:57.359461,24.0,0.07,1.0,0.0
2025-05-02 16:49:04.446959,24.0,0.07,1.0,0.0
2025-05-02 16:49:14.438594,24.0,0.07,1.0,0.0
2025-05-02 16:49:24.482394,24.0,0.07,1.0,0.0
2025-05-02 16:49:35.041702,24.0,0.07,1.0,0.0
2025-05-02 16:49:45.153755,24.0,0.07,1.0,0.0
2025-05-02 16:49:55.030533,24.0,0.07,1.0,0.0
2025-05-02 16:50:05.108101,24.0,0.07,1.0,0.0
2025-05-02 16:50:15.067438,24.0,0.07,1.0,0.0
2025-05-02 16:50:25.070561,24.0,0.07,1.0,0.0
2025-05-02 16:50:45.115638,24.0,0.07,1.0,0.0
2025-05-02 16:50:58.667816,24.0,0.07,1.0,0.0
2025-05-02 16:51:03.432360,24.0,0.07,1.0,0.0
2025-05-02 16:51:13.385272,24.0,0.07,1.0,0.0
2025-05-02 16:51:23.428740,24.0,0.07,1.0,0.0
2025-05-02 16:51:33.455145,24.0,0.07,50.0,0.0
2025-05-02 16:51:43.398293,24.0,0.07,50.0,0.5
2025-05-02 16:51:53.397003,24.0,0.07,50.0,0.5
2025-05-02 16:52:03.395484,24.0,0.07,75.0,0.5
2025-05-02 16:52:13.402914,24.0,0.07,75.0,0.5
2025-05-02 16:52:23.344967,24.0,0.07,75.0,0.5
2025-05-02 16:53:41.772473,24.0,0.07,75.0,0.5
2025-05-02 16:53:49.036935,24.0,0.07,75.0,0.5
2025-05-02 16:53:58.803352,24.0,0.07,75.0,0.5
2025-05-02 16:54:08.734609,24.0,0.07,75.0,0.5
2025-05-02 16:54:18.672204,24.0,0.07,75.0,0.0
2025-05-02 16:54:28.710215,24.0,0.07,75.0,0.0
2025-05-02 16:54:38.762483,24.0,0.07,75.0,0.0
2025-05-02 16:54:48.709499,24.0,0.07,75.0,0.0
2025-05-02 16:54:58.697695,24.0,0.07,75.0,0.0
2025-05-02 16:55:08.725945,24.0,0.07,75.0,0.0
2025-05-02 16:55:18.675417,24.0,0.07,75.0,0.0
2025-05-02 16:55:28.660570,24.0,0.07,75.0,0.0
2025-05-02 16:55:38.717357,24.0,0.07,75.0,0.0
2025-05-02 16:55:48.717171,24.0,0.07,75.0,0.0
2025-05-02 16:55:58.679831,24.0,0.07,75.0,0.0
2025-05-02 16:56:08.679794,24.0,0.07,75.0,0.0
2025-05-02 16:56:18.659927,24.0,0.07,75.0,0.0
2025-05-02 16:56:28.666700,24.0,0.07,75.0,0.0
2025-05-02 16:56:38.700453,24.0,0.07,75.0,0.0
2025-05-02 16:56:48.678287,24.0,0.07,75.0,0.0
2025-05-02 16:56:58.888446,24.0,0.07,75.0,0.0
2025-05-02 16:57:08.678167,24.0,0.07,75.0,0.0
2025-05-02 16:57:18.669144,24.0,0.07,75.0,0.0
2025-05-02 16:57:28.806657,24.0,0.07,75.0,0.0
2025-05-02 16:57:38.751464,24.0,0.07,75.0,0.0
2025-05-02 16:57:48.676669,24.0,0.07,75.0,0.0
2025-05-02 16:57:58.713402,24.0,0.07,75.0,0.0
2025-05-02 16:58:08.728500,24.0,0.07,30.0,0.0
2025-05-02 16:58:17.563391,24.0,0.07,30.0,0.0
2025-05-02 16:58:24.612435,24.0,0.07,30.0,0.0
2025-05-02 16:58:34.648570,24.0,0.07,30.0,0.0
2025-05-02 16:58:44.640782,24.0,0.07,30.0,0.0
2025-05-02 16:58:54.654021,24.0,0.07,25.0,0.0
2025-05-02 16:59:04.703856,24.0,0.07,30.0,0.0
2025-05-02 16:59:14.650142,24.0,0.07,30.0,0.0
2025-05-02 16:59:24.638868,24.0,0.07,30.0,0.0
2025-05-02 16:59:34.648956,24.0,0.07,30.0,0.0
2025-05-02 16:59:44.666276,24.0,0.07,25.0,0.0
2025-05-02 16:59:54.625600,24.0,0.07,75.0,0.0
2025-05-02 17:00:04.668824,24.0,0.07,75.0,0.0
2025-05-02 17:00:14.661004,24.0,0.07,25.0,0.0
2025-05-02 17:00:24.676189,24.0,0.07,30.0,0.0
2025-05-02 17:58:00.706283,207.0,0.08,16.0,0.02
2025-05-02 17:58:08.785039,207.0,0.08,16.0,0.02
2025-05-02 18:04:40.963799,207.0,0.08,16.0,0.02
2025-05-02 18:04:43.648075,207.0,0.08,16.0,0.02
2025-05-02 18:04:53.623097,207.0,0.08,16.0,0.02
2025-05-02 18:05:03.642609,207.0,0.08,16.0,0.02
2025-05-02 18:05:14.291226,207.0,0.08,16.0,0.02
2025-05-02 18:05:24.178660,207.0,0.08,16.0,0.02
2025-05-02 18:05:34.137261,207.0,0.08,16.0,0.02
2025-05-02 18:05:44.136607,207.0,0.08,16.0,0.02
2025-05-02 18:05:54.203269,207.0,0.08,16.0,0.02
2025-05-02 18:06:04.206966,207.0,0.08,16.0,0.02
2025-05-02 18:06:45.265433,207.0,0.08,16.0,0.02
2025-05-02 18:47:05.502837,207.0,0.08,16.0,0.02
2025-05-02 20:05:45.490735,207.0,0.08,16.0,0.02
2025-05-02 20:06:45.129554,207.0,0.08,16.0,0.02
2025-05-02 20:22:44.297603,207.0,0.08,16.0,0.02
2025-05-02 20:22:54.062749,207.0,0.08,16.0,0.02
2025-05-02 20:23:04.101642,207.0,0.08,16.0,0.02
2025-05-02 20:23:14.059233,207.0,0.08,16.0,0.02
2025-05-02 20:23:24.062583,207.0,0.08,16.0,0.02
2025-05-02 20:23:45.085447,207.0,0.08,16.0,0.02
2025-05-02 20:24:14.460452,207.0,0.08,16.0,0.02
2025-05-02 20:54:43.871836,207.0,0.08,16.0,0.02
2025-05-02 21:03:26.775467,207.0,0.08,16.0,0.0
2025-05-02 23:25:21.712343,207.0,0.08,16.0,0.0
2025-05-02 23:25:21.946201,207.0,0.08,16.0,0.0
2025-05-02 23:25:31.666894,207.0,0.08,16.0,0.0
2025-05-02 23:25:42.062536,207.0,0.08,16.0,0.0
2025-05-02 23:25:51.975360,207.0,0.08,16.0,0.0
2025-05-02 23:26:02.014837,207.0,0.08,16.0,0.0
2025-05-02 23:26:12.055690,207.0,0.08,16.0,0.0
2025-05-02 23:26:21.985630,207.0,0.08,16.0,0.0
